,T-1,T-2,T-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA03002685,1,2,4,19,24,19,0.00219054762993314,-3.14684138832927,Down
BraA03002686,32,41.5,5.5,73,83,127,0.0335115844437145,-1.84087749465478,Down
BraA03002687,32,41.5,5.5,73,83,127,0.0335115844437145,-1.84087749465478,Down
BraA03002688,0.005,1,0.005,1,7,0.005,0.397822504819434,-2.98654610976446,Not sig
BraA03002689,4,13,4,46,53,110,0.087553279168674,-3.31504170930212,Not sig
BraA03002690,517,637,594,348,463,631,0.344523349126859,0.277634020259776,Not sig
BraA03002691,30,101,108,239,160,108,0.132437326062197,-1.08497512902259,Not sig
BraA03002692,66,86,45,24,19,38,0.0635069250233765,1.28220181657175,Not sig
BraA03002693,7,10,6,10,27,10,0.291803903427484,-1.03102689562062,Not sig
BraA03002694,1525,1781,1920,33,22,36,0.00449263952235787,5.84369676912132,Up
BraA03002695,8,6,1,92,29,39,0.130401964083088,-3.41503749927884,Not sig
BraA03002696,39,43,52,19,24,15,0.00789794279406568,1.2081081953302,Up
BraA03002697,65,59,50,75,87,92,0.0168037769810388,-0.545741190923438,Not sig
BraA03002698,26,25,6,42,44,58,0.0269000039542422,-1.33703498727757,Down
BraA03002699,615,752,675,688,849,686,0.422977522926272,-0.122525082149189,Not sig
BraA03002700,49,64,65,6,6,24,0.00422135647098518,2.30580842952409,Up
BraA03002702,91,81,108,138,123,101,0.11582546474533,-0.370562870138239,Not sig
BraA03002704,12.97,0.99,5.04,6.12,0.005,0.005,0.364314039805434,1.63204043952753,Not sig
BraA03002705,4.03,8.01,3.96,31.88,48,70,0.054250357098889,-3.22766407255439,Not sig
BraA03002706,0.005,0.005,0.005,0.005,3,1,0.270069503221121,-8.06069593168755,Not sig
BraA03002708,2,4,1,8,6,51,0.31831036786054,-3.21501289097085,Not sig
BraA03002709,7,14,11,25,42,35,0.0282679718884148,-1.6724253419715,Down
BraA03002710,152,116,136,306,315,376,0.00466854410755778,-1.3032382116464,Down
BraA03002712,44.79,43.9,61.94,2,1,0.005,0.013285843610089,5.64750032967784,Up
BraA03002713,376,437,462,425,497,359,0.968653575720309,-0.00677322859542629,Not sig
BraA03002715,0.005,0.005,0.005,0.005,0.5,10,0.39479833108152,-9.45189794595189,Not sig
BraA03002716,0.005,0.005,0.005,0.005,0.5,10,0.39479833108152,-9.45189794595189,Not sig
BraA03002717,125.89,133.12,153.38,71.76,87.96,97.04,0.00963792096334801,0.683588883272729,Not sig
BraA03002718,1,3,2,2,2,4,0.492571741729924,-0.415037499278844,Not sig
BraA03002719,1,0.005,0.005,2,2,29,0.357777471692249,-5.03003882638138,Not sig
BraA03002720,1,7,5,0.005,0.005,0.005,0.133582546120996,9.75933340719466,Not sig
BraA03002721,0.005,5.36,0.005,3.58,6.05,0.005,0.600426965987638,-0.843362578310308,Not sig
BraA03002722,189,284.5,305,9.5,12,5,0.0194548338930185,4.87663277451584,Up
BraA03002723,189,284.5,305,9.5,12,5,0.0194548338930185,4.87663277451584,Up
BraA03002724,9,11.64,31,29.42,18.95,15,0.661511964785076,-0.295311014886659,Not sig
BraA03002726,34,33,46,0.005,2,14,0.00592724769457121,2.81972819064433,Up
BraA03002727,122,220,231,56,46,100,0.0516885702475177,1.50417984600511,Not sig
BraA03002729,121,164,148,145,154,201,0.361359181884219,-0.207561069935362,Not sig
BraA03002730,19,22,21,13,27,21,0.942730098671928,0.023458972823989,Not sig
BraA03002731,75,88,106,29,33,59,0.0193016388890408,1.15259912528203,Up
BraA03002732,7,1,3,0.005,0.005,0.005,0.173546581908938,9.51832530769087,Not sig
BraA03002733,54,66.25,41.44,101,75.66,40,0.416567096675382,-0.422202370540248,Not sig
BraA03002734,3,4,2,297,236,220,0.00879816386743799,-6.38658105322962,Down
BraA03002736,0.005,1,2,61,52,38,0.0173209763641696,-5.65103974838862,Down
BraA03002738,357,445,521,1,4,30,0.00985090903159522,5.24031432933371,Up
BraA03002739,77,101,62.77,94,95,182,0.272562634618307,-0.623763543699946,Not sig
BraA03002742,27,32,57,31,29,70,0.789930942725281,-0.164386817900882,Not sig
BraA03002743,84,98,124,165,110,88,0.513985645005449,-0.246437895303099,Not sig
BraA03002744,177,320,313,132,96,166,0.0797129870978527,1.03972627831561,Not sig
BraA03002745,328,350,448,150,119,81,0.00795216164835522,1.6857800002479,Up
BraA03002746,1,7,14,4,1,1,0.289349775624316,1.87446911791614,Not sig
BraA03002748,1,3,1,0.005,3,0.005,0.614032735685487,0.732164607902385,Not sig
BraA03002749,387.84,421,594.89,59.13,86.65,107.46,0.0227073140600354,2.47068826182136,Up
BraA03002751,436.16,338,559.11,8.87,1.35,1.54,0.0203096920448448,6.82493709923726,Up
BraA03002752,62,106,107,106,126,98,0.356815239163078,-0.263034405833794,Not sig
BraA03002754,1418.11,1976,1840,1708.15,2064,2057,0.393912806119496,-0.155341282249965,Not sig
BraA03002756,261,274,228,247.85,248,179,0.34633869911618,0.177116189421691,Not sig
BraA03002757,173,203,181,16,21,57,0.00104826442110442,2.56694466566239,Up
BraA03002758,4,11,8,7,7,5,0.585871979691219,0.275634442613428,Not sig
BraA03002759,553,645,582,670,851,527,0.444533807476534,-0.20233847414624,Not sig
BraA03002760,113,118,248,20,27,51,0.0968506294917855,2.28917200162097,Not sig
BraA03002761,142,139,150,161,181,253,0.187990232504259,-0.465201799106208,Not sig
BraA03002762,342,327,346,87,129,137,0.00201307330595018,1.52373963880136,Up
BraA03002763,265,293,294,163,183,259,0.0947203185781873,0.493918288063881,Not sig
BraA03002764,190,233,373,151,177,288,0.439310900963586,0.369838079848747,Not sig
BraA03002765,8,7,3,0.005,3,0.005,0.0612973657522488,2.58016151445733,Not sig
BraA03002766,11,28,25,15,31,26,0.724850689298194,-0.169925001442312,Not sig
BraA03002768,5,4,7,6,7,4,0.802482016928897,-0.0874628412503396,Not sig
BraA03002769,5,13,5,3,9,9,0.851961191885753,0.131244533278253,Not sig
BraA03002770,1,1,1,9,4,6,0.0668610503683131,-2.66296501272243,Not sig
BraA03002772,118,133,112,34,34,69,0.0101884525402746,1.40579365503522,Up
BraA03002774,62,70,63,344,186,511,0.0950649719278449,-2.41642403954981,Not sig
BraA03002775,340,322,364,182,130,123,0.00172622152907439,1.23794342487096,Up
BraA03002777,54,62,28,4,1,10,0.0450430044062189,3.26303440583379,Up
BraA03002778,132,186,142,50,51,35,0.0159271466691867,1.75802720969404,Up
BraA03002779,93,155,106,123,144,158,0.348610478963844,-0.263713480942067,Not sig
BraA03002781,204,243,223,442,532,381,0.0286519423404549,-1.0160598508961,Down
BraA03002782,77,128,82,32,58,57,0.0835967380655505,0.965234581839324,Not sig
BraA03002783,88,106,73,116,148,122,0.044283739247045,-0.531761105580526,Not sig
BraA03002784,469,478,466,553,606,658,0.0453584308439283,-0.362796953900176,Not sig
BraA03002785,241,261,198,318,326,381,0.0164064878830166,-0.55019708256048,Not sig
BraA03002786,58,98,103,57,83,193,0.622326610603613,-0.362570079384708,Not sig
BraA03002790,0.005,0.005,0.005,1,3,2,0.074511615983958,-8.64385618977473,Not sig
BraA03002793,114,157,154,127,115,153,0.606044414726707,0.105610187960599,Not sig
BraA03002794,122,141,110,84,86,97,0.042549921525393,0.482335888567684,Not sig
BraA03002796,201,220,189,270,369,352,0.0439615530362722,-0.700075814736239,Not sig
BraA03002797,16,18,22,16,14,17,0.227305365485727,0.252766070379967,Not sig
BraA03002798,91,100,99,97,106,87,1,0,Not sig
BraA03002799,2,1,4,0.005,0.005,5,0.747784580788311,0.48254431863712,Not sig
BraA03002800,75,110,43,102,134,244,0.180182842958207,-1.07400058144378,Not sig
BraA03002802,180,214,198,439,434,372,0.00359117459699887,-1.07247666132649,Down
BraA03002803,716,799,680,1013,1165,827,0.0965234801390426,-0.453144051175827,Not sig
BraA03002804,16,19,14,28,18,16,0.367420533586649,-0.339486466271667,Not sig
BraA03002805,2,9,5,11,11,6,0.204794881066603,-0.807354922057604,Not sig
BraA03002806,1,5,3,3,20,7,0.304287216665249,-1.73696559416621,Not sig
BraA03002808,51,73,88,78,106,105,0.145151962783055,-0.447005227937479,Not sig
BraA03002809,147,188,190,289,309,277,0.0037366801696507,-0.736965594166206,Not sig
BraA03002810,209,207,179,217,297,186,0.403027275939023,-0.234465253637023,Not sig
BraA03002811,67.57,86.31,70.86,90.45,112.65,77.88,0.20231961174711,-0.32221052066219,Not sig
BraA03002812,42.97,41.47,35.06,23.15,46.54,35.35,0.558435269201154,0.186071796862586,Not sig
BraA03002815,30.49,43.53,43,33.51,50.65,47,0.523889233677366,-0.164572683573791,Not sig
BraA03002816,91.96,125.69,102.08,163.89,217.16,112.76,0.186050175951161,-0.627101935020941,Not sig
BraA03002821,59,85,53,21,37,27,0.0445810946473266,1.21266088331867,Up
BraA03002822,129,124,152,153,188,201,0.0651886872465172,-0.420370943581884,Not sig
BraA03002823,292,363,354,360,445,401,0.119500159215609,-0.257303732793728,Not sig
BraA03002824,242,339,421,743,632,790,0.00529016826812237,-1.11148451641888,Down
BraA03002826,294,229,208,209,140,98,0.0875632350456385,0.70959657476912,Not sig
BraA03002827,59,185,100,366,447,389,0.00492035931910273,-1.80495642600909,Down
BraA03002828,89,90,82,113,182,135,0.107323934082774,-0.720286853019576,Not sig
BraA03002829,288,294,260,156,212,182,0.0107920239000839,0.614388614654374,Not sig
BraA03002830,691,785,825,16,15,3,0.00251386082822796,6.08058242697375,Up
BraA03002831,8,9,11,5,0.005,6,0.0740576216997148,1.34726768194077,Not sig
BraA03002832,943,788,1158,120,205,245,0.0117394201623976,2.34153637951251,Up
BraA03002833,0.005,0.005,2,4,11,7,0.0694737740605949,-3.45223611723309,Not sig
BraA03002835,6,8,1,3,5,23,0.496049898570699,-1.04730571477836,Not sig
BraA03002836,0.005,0.005,1,3,3,5,0.0218540962571397,-3.44507632566023,Down
BraA03002837,89,115,70,50,82,74,0.240273277838307,0.411531555777308,Not sig
BraA03002838,97,107,117,254,423,219,0.0919251111455389,-1.4809254349353,Not sig
BraA03002839,4,6,1,11,2,0.005,0.868617878580039,-0.241562875530969,Not sig
BraA03002840,1,3,4,0.005,0.005,3,0.280835919635646,1.41023651301502,Not sig
BraA03002842,29,29,12,4,2,8,0.0700304742668346,2.32192809488736,Not sig
BraA03002843,0.005,0.005,0.005,0.005,12.51,4.35,0.265138920620959,-10.134854102297,Not sig
BraA03002844,2,1,2,0.005,0.005,4,0.830187635234103,0.318325858207167,Not sig
BraA03002845,1,3.25,1.1,0.005,9.19,11.4,0.280579553869448,-1.94468332957975,Not sig
BraA03002846,249,350,379,211,285,414,0.768423509853159,0.103967919866175,Not sig
BraA03002847,0.005,0.005,0.005,0.005,1,1,0.183503419072274,-7.06249592573376,Not sig
BraA03002848,63,115,94,103,113,66,0.880442064816859,-0.0520885111484541,Not sig
BraA03002849,197,243,227,391,362,450,0.00867923458993874,-0.850877975991491,Not sig
BraA03002851,131,151,126,8,9,24,0.000396899313687064,3.31487333735341,Up
BraA03002852,4,12,9,27,26,32,0.00306130338567168,-1.76553474636298,Down
BraA03002853,1774,2379,2497,38,26,16,0.0102486871356093,6.37721053038855,Up
BraA03002855,213,246,246,98,84,129,0.00183543720029191,1.18070867715555,Up
BraA03002856,45,73,49,27,47,74,0.718732716626258,0.174250926845102,Not sig
BraA03002857,171,223,232,109,96,97,0.0251472753087128,1.05161410760754,Up
BraA03002858,57,63,75,131,131,70,0.146517735590056,-0.767709117597314,Not sig
BraA03002859,251,466,279,524,758,833,0.0360203258007941,-1.08644001593923,Down
BraA03002860,82,89,103,77,85,130,0.759455082901822,-0.0917924759194906,Not sig
BraA03002861,58,72,71,50,52,60,0.0843206218573233,0.311201688294304,Not sig
BraA03002862,1,0.005,2,8,2,0.005,0.43571180309336,-1.73528427119456,Not sig
BraA03002864,44,70,55,101,143,114,0.0185783021790738,-1.08293634098207,Down
BraA03002865,10,23,12,31,41,44,0.0137369266524948,-1.3661278987979,Down
BraA03002866,103,109,105,273,275,272,4.4166602110251e-06,-1.37114106936604,Down
BraA03002867,46,62,49,35,37,48,0.12709674330662,0.387730153283109,Not sig
BraA03002868,295,347,453,158,285,202,0.0684233673308373,0.763559804177919,Not sig
BraA03002869,4,2,1,84,51,4,0.198323592734948,-4.3115861506659,Not sig
BraA03002871,21,12,22,15,20,30,0.576032029075679,-0.241008099503795,Not sig
BraA03002872,10,0.005,56,1,0.005,0.005,0.33579506536477,6.03014811732048,Not sig
BraA03002873,53,58,35,0.005,0.005,1,0.0200562042194475,7.17546926590295,Up
BraA03002874,5,5,17,0.005,0.005,1,0.161823834520129,4.7405322091864,Not sig
BraA03002875,1159,1441,1893,53,32,23,0.0205760955209992,5.37857584435997,Up
BraA03002876,0.005,0.005,0.005,1,3,14,0.276221049054407,-10.2288186904959,Not sig
BraA03002877,76,141,76,674,559,609,0.000482675292714221,-2.65230049166909,Down
BraA03002878,73,82,91,5,10,14,0.00122384275796282,3.08453351021167,Up
BraA03002881,7,15,9,39,43,79,0.0716716102561728,-2.37672056772774,Not sig
BraA03002882,236,277,336,260,225,338,0.854435644559896,0.0448721231314128,Not sig
BraA03002883,102,149,125,262,289,220,0.00802787544074995,-1.0359981982374,Down
BraA03002884,1,3,0.005,0.005,0.005,4,0.999224274289821,-0.00179999404621015,Not sig
BraA03002885,1,1,3,5,4,17,0.233725596713885,-2.37851162325373,Not sig
BraA03002887,927,1050,1012,1729,2164,1279,0.101510025481091,-0.79105937813216,Not sig
BraA03002888,28,33,15,9,10,15,0.108487466495162,1.16046467219325,Not sig
BraA03002889,163,186,204,246,300,240,0.0343626090076063,-0.507249832023899,Not sig
BraA03002890,0.005,2,1,1,2,3,0.288037969398942,-0.997597509784695,Not sig
BraA03002892,598,793,457,894,1077,615,0.21895558120296,-0.484757518394197,Not sig
BraA03002896,181,199,197,176,254,248,0.309934649965977,-0.232713954490861,Not sig
BraA03002897,15,12,4,12,9,8,0.863029917098277,0.0962153152593033,Not sig
BraA03002899,1,0.005,1,4,3,0.005,0.29751499729226,-1.8047828139759,Not sig
BraA03002900,6,15,10,52,46,40,0.00162694444191849,-2.15432814639129,Down
BraA03002901,22.38,39,39,34.77,52.53,50,0.191538165566982,-0.451859774274954,Not sig
BraA03002902,7.62,0.005,0.005,11.23,4.47,0.005,0.552501993047518,-1.04146898081743,Not sig
BraA03002903,30,31,20,33,35,40,0.107764627960774,-0.415037499278844,Not sig
BraA03002904,9,2,15,0.005,1,0.005,0.15586550238718,4.68608442516402,Not sig
BraA03002905,5,15,23,0.005,1,4,0.129123613631544,3.10289468564083,Not sig
BraA03002907,10,26,9,58,154,64,0.127246293635195,-2.61667136044849,Not sig
BraA03002908,11,23,23,93,189,106,0.0644995249049154,-2.76702282802239,Not sig
BraA03002909,1,0.005,0.005,1,7,5,0.147423497543888,-3.68608442516402,Not sig
BraA03002910,233.69,328,250.76,258,291,354,0.49687699429073,-0.152446958642807,Not sig
BraA03002911,6,9,1,0.005,0.005,0.005,0.149830524242149,10.0588936890536,Not sig
BraA03002914,28,27,17,36,48.5,72.5,0.106559350732722,-1.12469574744931,Not sig
BraA03002917,1127,1142,1018,737,867,950,0.0374550787558899,0.364012931377586,Not sig
BraA03002918,28,27,17,36,48.5,72.5,0.106559350732722,-1.12469574744931,Not sig
BraA03002919,8,11,15,26,17,24,0.0356765780160262,-0.978626349207433,Not sig
BraA03002920,360,439,408,571,703.52,882,0.0644115988640669,-0.837279419885354,Not sig
BraA03002921,7,10,11,13,15,28,0.179533356090746,-1,Not sig
BraA03002924,0.005,0.005,1,4,4,5,0.00105096310118747,-3.68608442516402,Down
BraA03002925,148,165,174,228,238,178,0.0904525084387048,-0.403138916032275,Not sig
BraA03002927,17,14,3,22,26,12,0.219208627258877,-0.819427754358179,Not sig
BraA03002930,0.005,0.005,0.005,2,11,14,0.130054687957884,-10.813781191217,Not sig
BraA03002932,5,7,9,9,1,7,0.652809108959384,0.304854581528421,Not sig
BraA03002933,24,10,13,0.005,0.005,1,0.068310449478313,5.54023355870057,Not sig
BraA03002934,10,5,2,9,10,3,0.629807975364973,-0.371968777386958,Not sig
BraA03002935,1649,1891,1836,30,27,33,0.00171460934469012,5.90046432644909,Up
BraA03002936,45,103,113,52,84,89,0.652515295898121,0.214124805352847,Not sig
BraA03002937,52,87,124,91,141,141,0.243933513987628,-0.504112830962935,Not sig
BraA03002938,140,230,169,2,0.005,41,0.0119314333830157,3.64770896256555,Up
BraA03002939,1,1,1,11,8,7,0.0237043720505796,-3.11547721741994,Down
BraA03002940,57,60,46,12,12,27,0.00509640124725481,1.67630281225958,Up
BraA03002944,177,223,182,332,355,235,0.0757133955113039,-0.663747597521054,Not sig
BraA03002945,10,15,6,2,5,8,0.173859454824043,1.04730571477836,Not sig
BraA03002946,177.04,122,177.73,2,1,0.005,0.0133281544783367,7.30978465818513,Up
BraA03002947,1305.96,1566,1893.27,6,1,3,0.0112918796625194,8.89640203913584,Up
BraA03002951,150,161,145,257,300,562,0.145931433167616,-1.29510430681165,Not sig
BraA03002952,263,278,302,286,317,290,0.328997880887045,-0.0831275441791407,Not sig
BraA03002953,24,65,26,103,153,113,0.0145153260519686,-1.68198695511602,Down
BraA03002955,1,3,6,7,0.005,105,0.421437095000852,-3.48549123176126,Not sig
BraA03002956,13,32,5,134,175,685,0.217605447095333,-4.31324585178756,Not sig
BraA03002957,30,79,19,89,53,217,0.258171082351994,-1.48784003382305,Not sig
BraA03002958,65,56,70,120,112,109,0.000846201797173619,-0.836199100988424,Not sig
BraA03002960,42,36,39,62,94,123,0.090584639009858,-1.25375659224578,Not sig
BraA03002961,301,359,286,191,203,258,0.0322596545050322,0.536968219108317,Not sig
BraA03002962,28,42,31,25,21,27,0.147167577078855,0.468386923871777,Not sig
BraA03002963,2,0.005,2,4,1,6,0.246694489222447,-1.45762937600331,Not sig
BraA03002964,702,680,963,2,5,10,0.0133973936644441,7.1079093661524,Up
BraA03002966,217,262,239,248,224,193,0.4402075017784,0.1106295034345,Not sig
BraA03002967,104,105,95,54,50,55,0.00104239296637734,0.93504455815923,Not sig
BraA03002968,4,0.005,0.005,4,3,0.005,0.607597907637406,-0.804782813975898,Not sig
BraA03002969,1065,1041,1089,299,494,476,0.00701876241050794,1.33212386199325,Up
BraA03002971,274,372,371,88,118,62,0.00676286060980982,1.92401477339973,Up
BraA03002973,7,17,32,88,68,100,0.00579894491101343,-2.1926450779424,Down
BraA03002974,16,15,8,54,63,62,0.000275549834433878,-2.19841355840201,Down
BraA03002975,1,3,0.005,49,6,5,0.326820980313366,-3.90508835297453,Not sig
BraA03002976,8,15,29,0.005,4,5,0.139078494755585,2.52971344200954,Not sig
BraA03002977,26,34,51,0.005,0.005,1,0.0378854141908139,6.78006057337304,Up
BraA03002978,2,2,0.005,51,65,68,0.00682835246224816,-5.52175971342303,Down
BraA03002980,0.005,0.005,0.005,12,9,25,0.0891148367568446,-11.5824556451106,Not sig
BraA03002981,8,10,12,58,65,70,0.00190658327875091,-2.68556644165956,Down
BraA03002982,0.005,1,2,0.005,0.005,0.005,0.225662696077777,7.64625867999003,Not sig
BraA03002984,2093,2836,3240,21,14,9,0.0150278949122915,7.53651214912766,Up
BraA03002985,44.5,65,54.5,161.5,242.5,154.5,0.0382766466398742,-1.76786146586523,Down
BraA03002987,44.5,65,54.5,161.5,242.5,154.5,0.0382766466398742,-1.76786146586523,Down
BraA03002991,0.005,0.005,0.005,2,2,1,0.0379642790009995,-8.38082178394093,Down
BraA03002992,98,130,97,3,10,69,0.0413319507327028,1.98674390329773,Up
BraA03002993,8,12,11,0.005,0.005,1,0.00992121769255117,4.93984101740981,Up
BraA03002994,335,351,352,564,872,796,0.0496747122354439,-1.10453058347131,Down
BraA03002995,158,185,196,220,266,199,0.117206958806129,-0.345818715095384,Not sig
BraA03002996,5,9,6,46,40,31,0.0128204479064413,-2.54843662469604,Down
BraA03002998,1,1,1,29,14,15,0.0632104277694073,-4.27301849440642,Not sig
BraA03002999,3439.44,3421.97,4704.89,1567.79,1753.65,2108.59,0.0286202836648457,1.09089535369783,Up
BraA03003000,1,4,0.005,52,36,31,0.0234104344137612,-4.57144769424667,Down
BraA03003001,56,37,35,161,251,199,0.0199124952248213,-2.25502856981873,Down
BraA03003002,65.95,54.23,31.04,0.005,0.005,0.005,0.0390098293633995,13.2993988384445,Up
BraA03003005,12,10,0.005,274,199,175,0.0185456753663813,-4.8800905362648,Down
BraA03003007,190,291,246,115,186,214,0.163753718546217,0.497382931849014,Not sig
BraA03003008,441,612,589,22,18,12,0.00990078478685561,4.98079869363671,Up
BraA03003009,2,4,4,5,4,21,0.349489305211294,-1.58496250072116,Not sig
BraA03003010,1,1,2,0.005,0.005,0.005,0.0575857681940916,8.05889368905357,Not sig
BraA03003011,41,115,191,1,1,1,0.117913920967343,6.8538293518571,Not sig
BraA03003014,49,57,102,1037,680,211,0.138063580876909,-3.21244961808887,Not sig
BraA03003015,100,95,114,28,25,19,0.00143674960933064,2.10153802646206,Up
BraA03003016,178,258,210,225,281,304,0.173228865049031,-0.326387743078062,Not sig
BraA03003019,10,12,13,0.005,9,3,0.0890794581962255,1.54371951848927,Not sig
BraA03003021,4,1,0.005,3,9,2,0.312833752239115,-1.48398485299634,Not sig
BraA03003023,27,23,14,14,16,17,0.27608180140703,0.445411148322363,Not sig
BraA03003025,556,791,785,25,11,18,0.0120685514720732,5.30310422059571,Up
BraA03003026,876,825,1134.33,518,433.4,374,0.0209948137041822,1.0970888336235,Up
BraA03003027,48,40,64,64,93,55,0.225394061497761,-0.479992941119614,Not sig
BraA03003029,0.005,2,0.005,0.005,2,5,0.378492416689828,-1.80118954925189,Not sig
BraA03003030,321,517,427,503,620,592,0.100886759426197,-0.439071191478502,Not sig
BraA03003032,63,92,65,54,74,79,0.738495981913599,0.0878727560253341,Not sig
BraA03003033,34,29,21,17,25,29,0.449701869938697,0.242570303274078,Not sig
BraA03003034,2,17,12,0.005,0.005,0.005,0.143939985071479,11.0130899994404,Not sig
BraA03003035,374,484,468,1983,2153,1136,0.0511582566372478,-1.99126959489546,Not sig
BraA03003036,10,15,11,19,5,29,0.503455071795451,-0.557995453120887,Not sig
BraA03003037,581,535,795,10,1,1,0.0155365994012709,7.3151495622563,Up
BraA03003038,145,188,194,185,197,131,0.86428336732773,0.0388441360301604,Not sig
BraA03003039,210,343,269,208,280,263,0.627666998164095,0.130325486167411,Not sig
BraA03003042,0.005,0.005,0.005,1,0.005,1,0.183503419072274,-7.06249592573376,Not sig
BraA03003044,269,422,277,905,1272,1136,0.00845855981440626,-1.77505925080642,Down
BraA03003045,1062,1191,1311,362,303,163,0.000727875205982926,2.1057946640226,Up
BraA03003049,165.88,220.89,208.36,200.04,278.53,258.48,0.184071614255352,-0.308557647518408,Not sig
BraA03003050,42.12,10.11,14.64,82.96,16.47,3.52,0.685248071205871,-0.622512807538708,Not sig
BraA03003051,3,0.005,2,0.005,0.005,2,0.420252860244484,1.31617456765706,Not sig
BraA03003052,0.005,1,1,1,0.005,2,0.648507896794981,-0.583762754256265,Not sig
BraA03003053,0.005,0.005,0.005,1,0.005,3,0.270069503221121,-8.06069593168755,Not sig
BraA03003054,0.005,0.005,0.005,0.005,2,1,0.225662696077777,-7.64625867999003,Not sig
BraA03003055,57,62,44,29,43,123,0.752462784695318,-0.258602159518533,Not sig
BraA03003056,174,217,234,39,64,39,0.00472716129789085,2.13796526004477,Up
BraA03003057,1,0.005,5.47,0.005,0.005,0.005,0.328570654892409,8.75377388185276,Not sig
BraA03003059,71,63,94,67,59,88,0.731846732347566,0.0914230277635949,Not sig
BraA03003061,11,15,28,1,0.005,3,0.0791539584848901,3.75308525952948,Not sig
BraA03003066,297,318,395,156,208,226,0.0224735011513394,0.775568433389954,Not sig
BraA03003067,1.54,0.005,0.51,0.005,0.005,0.005,0.271137991339416,7.09803208296053,Not sig
BraA03003068,103.46,104,100.49,269,341,251,0.0213886442553115,-1.48331710945445,Down
BraA03003070,90,131,135,54,58,96,0.0662796253163567,0.775293712825306,Not sig
BraA03003071,62,57,81,69,50,83,0.958661003253328,-0.0143552929770699,Not sig
BraA03003072,270,316,292,245,237,356,0.768590224668753,0.0672706958360067,Not sig
BraA03003073,840,945,913,1710,2021,1366,0.048322131343195,-0.917758004957109,Not sig
BraA03003074,53.87,137.46,61,70.92,83.99,68.22,0.752750852831224,0.177427243225161,Not sig
BraA03003076,208,220,233,108,160,141,0.0172961488494494,0.692549428565943,Not sig
BraA03003078,105,178,74,172,171,200.74,0.172597344021891,-0.606992889027784,Not sig
BraA03003079,21.13,38.54,21,6.08,2.01,5.04,0.0554378953772871,2.61916533970114,Not sig
BraA03003081,131,173,131,152,192,215,0.153494069043513,-0.361832882107099,Not sig
BraA03003082,39,38,77,0.005,0.005,0.005,0.0572276692453204,13.3256802297485,Not sig
BraA03003083,2,1,2,0.005,3,1,0.751608204268401,0.320125852253377,Not sig
BraA03003084,35,37,37,9,8,11,3.01586363457261e-05,1.96082940271932,Up
BraA03003085,15,13,13,102,63,76,0.0279777811681637,-2.55533733161188,Down
BraA03003087,25,43,43,186,174,142,0.0037530385794868,-2.17712768760067,Down
BraA03003089,21,19,20,21,34,19,0.425841126607336,-0.302562770020431,Not sig
BraA03003091,38,78,16,6,4,0.005,0.153118509165665,3.72174485722744,Not sig
BraA03003092,3,5,0.005,2,3,6,0.625228438873414,-0.458530215895765,Not sig
BraA03003094,9,4,11,0.005,0.005,3,0.0594873626033429,2.99519901373618,Not sig
BraA03003095,7,12,16,6,11,7,0.305713768313728,0.54432051622381,Not sig
BraA03003097,5,3,2,0.005,3,1,0.184115820592875,1.32012585225338,Not sig
BraA03003099,20,18,18,19,21,46,0.368603412525167,-0.618909832644494,Not sig
BraA03003101,28,39,41,30,47,33,0.924886535015296,-0.0264722113611909,Not sig
BraA03003103,500.83,637,645,618,586,561,0.913621134574296,0.0145009592590745,Not sig
BraA03003104,44,53,41,26,46,131,0.570939038544437,-0.556811460407007,Not sig
BraA03003105,46,99,67,32,44.8,165.52,0.840093726538871,-0.192849218457448,Not sig
BraA03003106,11,15,7,15,26,14,0.192790447724537,-0.736965594166206,Not sig
BraA03003108,356,414,401,447,497,383,0.256998896138669,-0.180427294868978,Not sig
BraA03003112,29,29,28,45,57,68,0.0515887769746735,-0.983126181435604,Not sig
BraA03003113,22,32,22,64,54,80,0.0197636817108972,-1.38142910663602,Down
BraA03003117,17.3,36.34,16.68,2,2,8.47,0.0838045938126936,2.49547360531373,Not sig
BraA03003118,93.7,91.66,96.32,24,23,26.53,4.00118650877057e-06,1.93765224227514,Up
BraA03003122,121,125,112,52,69,123,0.215022965271143,0.55307843970137,Not sig
BraA03003123,6,13,7,6,10,18,0.561929619858278,-0.387023123109247,Not sig
BraA03003124,0.005,0.005,0.005,1,0.005,2,0.225662696077777,-7.64625867999003,Not sig
BraA03003127,88.5,116.5,81.5,86.5,108.5,205.5,0.410185244774836,-0.483267103651805,Not sig
BraA03003128,30,35,38.41,26,34,46,0.900684083317587,-0.0356885602494984,Not sig
BraA03003129,88.5,116.5,81.5,86.5,108.5,205.5,0.410185244774836,-0.483267103651805,Not sig
BraA03003130,4,4,4.5,4,4.5,4,1,0,Not sig
BraA03003131,18.72,63.67,22.22,5.5,8.24,0.005,0.167564987533354,2.92804195798491,Not sig
BraA03003134,0.005,0.005,1,0.5,0.005,1,0.726333998936128,-0.575408194007907,Not sig
BraA03003135,1473.84,2078.27,1651.25,8921.33,9289.67,5600.07,0.0314975587087228,-2.1941170222977,Down
BraA03003136,821.28,1234.33,1017.78,203.55,269.76,190,0.0179785262642974,2.21207566926758,Up
BraA03003137,4,4,4.5,4,4.5,4,1,0,Not sig
