,TH-1,TH-2,TH-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA01004620,1727.47,1405.88,1911.59,1384.77,1920.31,3145.02,0.467178696892054,-0.354484416417093,Not sig
BraA01004621,50,39,29,58,35,38,0.67033225324298,-0.150779952175609,Not sig
BraA01004623,355,304,319,245,287,391,0.721761329324772,0.0835038173064593,Not sig
BraA01004624,9,6,22,11,12,14,1,0,Not sig
BraA01004625,10,23,12,20,12,16,0.842942343557796,-0.0931094043914815,Not sig
BraA01004626,348,348,462,280,286,253,0.0881941833406417,0.499699896348228,Not sig
BraA01004628,30,32,33,24,49,39,0.51772571888368,-0.237499313726656,Not sig
BraA01004630,1393,1572,1420,1118,1047,743,0.0330022892241494,0.592549573412501,Not sig
BraA01004631,68,86,101,77,77,46,0.262739858970695,0.350497247084133,Not sig
BraA01004633,61,62,54,74,111,157,0.147629723404269,-0.9502469648029,Not sig
BraA01004634,28,31,43,28,32,36,0.723121974145845,0.0874628412503394,Not sig
BraA01004639,110,120,124,137,124,83,0.859128455906245,0.0413407953808996,Not sig
BraA01004640,283,297,412,252,306,184,0.199127924576845,0.418920933766072,Not sig
BraA01004645,31,28,33,13,32,37,0.695639199822383,0.166009951438929,Not sig
BraA01004648,100,85,151.6,66,80,83,0.212343871148434,0.555687578345643,Not sig
BraA01004649,62,31,76,37,51,28,0.321936012137742,0.542898441154612,Not sig
BraA01004650,3,0.005,1,1,7,6,0.207785678277735,-1.80555267942362,Not sig
BraA01004651,155,157,198,116,193,145,0.526496659734899,0.167804949567943,Not sig
BraA01004652,201,139,131,181,179,316,0.271382442419937,-0.521296186669401,Not sig
BraA01004655,217,146,314,113,167,114,0.183391339702944,0.78096020411862,Not sig
BraA01004656,357,272,395,361,398,547,0.247712773997988,-0.350939181546431,Not sig
BraA01004657,1,0.005,1,1,1,3,0.274389611362928,-1.31832585820717,Not sig
BraA01004658,24,8,21,21,36,34,0.136045179864448,-0.779874185635497,Not sig
BraA01004660,426,369,517,469,552,186,0.790403987896714,0.120342043863062,Not sig
BraA01004661,8,11,19.9,8,20.75,18.87,0.615713170499464,-0.29179746539678,Not sig
BraA01004662,29,9,20,16,20,13,0.664354412804481,0.243271151012364,Not sig
BraA01004663,1,1,1.1,0.005,3.25,3.13,0.410965547051665,-1.04241840442849,Not sig
BraA01004664,14,19,28,19,19,18,0.723887099937276,0.123382415505282,Not sig
BraA01004667,29,17,22,17,31,43,0.426689631344545,-0.420331798948357,Not sig
BraA01004669,17,20,3,22,17,40,0.216109400456753,-0.98185265328974,Not sig
BraA01004670,40,82,46,39,46,56,0.573596892522125,0.252766070379967,Not sig
BraA01004671,2,2,4,1,3,0.005,0.298905582109914,0.998197757366015,Not sig
BraA01004672,105,141,111,140,79,62,0.407952470704193,0.345353943808174,Not sig
BraA01004674,49,41,47,49,47,45,0.652809108959383,-0.0415192694382669,Not sig
BraA01004675,511.28,620,624,640,679.54,673,0.155856848968584,-0.182907500697125,Not sig
BraA01004676,24,13,7,31,22,55,0.149966570433475,-1.29545588352617,Not sig
BraA01004678,73,58,72,73,73,83,0.223114916034702,-0.173867870911768,Not sig
BraA01004679,4,1,9,2,4,9,0.920301448481174,-0.0995356735509144,Not sig
BraA01004680,4,5,7,5,1,4,0.256708783188199,0.678071905112637,Not sig
BraA01004682,1,8,3,2,8,7,0.582681384873417,-0.502500340529183,Not sig
BraA01004683,37,52,50,28,38,21,0.0638902270532117,0.675997576874779,Not sig
BraA01004684,41,15,33,43,37,148,0.326486096311087,-1.35715658319834,Not sig
BraA01004685,25,24,28,26,38,26,0.394008029955642,-0.225066555634773,Not sig
BraA01004686,896,798,1393,817,692,577,0.204175367807776,0.565466325095359,Not sig
BraA01004688,114,119,118,125,113,152,0.376645430816202,-0.15200309344505,Not sig
BraA01004689,8,6,5,5,7,5,0.581287963304113,0.160464672193246,Not sig
BraA01004690,37,51,40,50,66.84,103,0.182861951630774,-0.780310099043376,Not sig
BraA01004691,157,97,191,130,152,182,0.852379255279216,-0.0603194692738118,Not sig
BraA01004692,171,168,150,168,151,213,0.527642156950236,-0.121591780548956,Not sig
BraA01004693,19,9,22,25,26,31,0.0958207119157315,-0.713695814843359,Not sig
BraA01004694,106,111,115,83,82,62,0.0245439755332758,0.54849094405601,Not sig
BraA01004696,80,44,84,46,41,57,0.229793644425783,0.53051471669878,Not sig
BraA01004699,39,16,24,22,30,52,0.501879025802548,-0.396658969963989,Not sig
BraA01004700,476,480,585,392,377,409,0.0688310164849588,0.387527322684324,Not sig
BraA01004701,9,9,12,2,1,5,0.0101400552428326,1.90689059560852,Up
BraA01004703,142.1,121.92,133.67,102,129.65,138.79,0.519759861456821,0.102404396937405,Not sig
BraA01004704,1.9,2.08,4.33,0.005,22.35,17.21,0.262129292761159,-2.25130437511582,Not sig
BraA01004705,105,90,122,91,127,134,0.516144293077484,-0.15109258849789,Not sig
BraA01004707,263,189,320,142,185,101,0.0743286364475355,0.850990050866934,Not sig
BraA01004708,31,45,23,9,4,29,0.131834128170884,1.23703919730085,Not sig
BraA01004709,228,293,218,157,130,197,0.0515228869206417,0.610567316871557,Not sig
BraA01004712,50,34,66,33,35,45,0.314502071367237,0.408639728080693,Not sig
BraA01004714,10,9,7,11,15,14,0.0395679051307929,-0.62148837674627,Not sig
BraA01004715,214,171,235,224,267,273,0.122726011250633,-0.301304422761511,Not sig
BraA01004716,138,177,196,161,201,132,0.840179046225088,0.0488122493529439,Not sig
BraA01004717,17,6,10,4,7,10,0.351713618422667,0.652076696579693,Not sig
BraA01004718,17,7,13,15,23,13,0.330604001977839,-0.462971976342546,Not sig
BraA01004719,6,0.005,6,1,12,6,0.574220216295097,-0.662364014987894,Not sig
BraA01004720,193,118,167,190,235,362,0.173051436712883,-0.719353017526738,Not sig
BraA01004721,3,1,0.005,0.005,0.005,0.005,0.270069503221121,8.06069593168755,Not sig
BraA01004726,211,189.14,226.06,224,268,273,0.0786811222530969,-0.288836239328707,Not sig
BraA01004727,1,2,3,5,0.005,4,0.589404346115666,-0.585763775410395,Not sig
BraA01004728,61,52,72,81,96,86,0.0260612503464187,-0.50753752877599,Not sig
BraA01004729,19,22,26,19,17,65,0.545726308173784,-0.592122292294022,Not sig
BraA01004730,344,340,357,288,477,525,0.369911918203476,-0.309400997011199,Not sig
BraA01004731,339,539,430,358,375,121,0.213681994441083,0.615054565877592,Not sig
BraA01004732,1113,1260,1480,934,889,451,0.0552948709433429,0.760749931767302,Not sig
BraA01004733,3,4,11,31,19,19,0.0304348997880441,-1.93859945533586,Down
BraA01004734,41,28,61,43,33,42,0.724431837158889,0.139724763666613,Not sig
BraA01004738,1428,1217,1646,1290.04,1210.3,2138.74,0.745041242850167,-0.112524824301301,Not sig
BraA01004743,1.5,0.005,0.5,0.5,0.5,0.005,0.537145119882769,0.996406735275992,Not sig
BraA01004744,438,379,479.5,585.5,521.5,549.31,0.0332826610678608,-0.353350511094758,Not sig
BraA01004745,208,273,295,269,306.07,329,0.255447037442583,-0.220377829014681,Not sig
BraA01004746,28.5,29.5,28,35.5,39.5,20.5,0.639285095592981,-0.151164073333651,Not sig
BraA01004747,1.89,1.91,3.62,3.53,14,13.52,0.143823575795007,-2.06510217648704,Not sig
BraA01004748,156,111,195,109,169,184,1,0,Not sig
BraA01004752,62,38,58,40,75,102,0.394198682567645,-0.457770484267376,Not sig
BraA01004753,117,84,113,51,59.71,100,0.142508822961311,0.575505775061056,Not sig
BraA01004755,186,215,298,377,345,262,0.11875084415083,-0.493365859963804,Not sig
BraA01004756,22,14,32,17,24,14,0.519153614842311,0.30610312772568,Not sig
BraA01004757,1.5,0.005,0.5,0.5,0.5,0.005,0.537145119882769,0.996406735275992,Not sig
BraA01004758,438,379,479.5,585.5,521.5,549.31,0.0332826610678608,-0.353350511094758,Not sig
BraA01004760,28.5,29.5,28,35.5,39.5,20.5,0.639285095592981,-0.151164073333651,Not sig
BraA01004761,1.11,1.09,1.38,0.47,0.005,0.48,0.0141912872222,1.90638694922851,Up
BraA01004762,425.17,422,459.91,401,430,336,0.229756305513767,0.163542883126483,Not sig
BraA01004767,1168,1167,1235,1077,1210,1241,0.817130720923497,0.0170735133589414,Not sig
BraA01004768,89.02,100.02,110.02,78.03,129,207.81,0.414566715814347,-0.472120050032483,Not sig
BraA01004770,11,2,9,11,13,4,0.631585687898974,-0.347923303420307,Not sig
BraA01004771,11,16,13,18,28,41,0.137227659674051,-1.12101540096137,Not sig
BraA01004773,138.08,122,147,99.16,128,137,0.360289123264983,0.160739880288936,Not sig
BraA01004774,0.005,0.005,0.005,0.005,1,1,0.183503419072274,-7.06249592573376,Not sig
BraA01004775,3,4,2,6,7,19,0.205974018285961,-1.83007499855769,Not sig
BraA01004776,5,9,2,0.005,1,1,0.144728362708389,2.9963977633198,Not sig
BraA01004778,6,0.005,4,4,8,4,0.42048690796094,-0.677350737868983,Not sig
BraA01004780,49.5,41.5,37,59.5,74.5,39.5,0.270349603411405,-0.438791852578261,Not sig
BraA01004781,16,4,0.005,21,19,115,0.290183427365069,-2.95383568170336,Not sig
BraA01004782,49.5,41.5,37,59.5,74.5,39.5,0.270349603411405,-0.438791852578261,Not sig
BraA01004783,6,1,3,1,3,2,0.464695362738253,0.736965594166206,Not sig
BraA01004791,117.07,215.26,182.35,256.27,317.65,277.37,0.0389053126468544,-0.725974961562193,Not sig
BraA01004792,41,40,14,31,16,29,0.571247118750523,0.321928094887362,Not sig
BraA01004794,143,128,137,102,168,210,0.525864066899038,-0.234465253637023,Not sig
BraA01004795,472,494,573,385,533,332,0.249630156115414,0.300065136778761,Not sig
BraA01004797,34.14,25,33.02,22,33.03,51.04,0.647008263107638,-0.202804051595851,Not sig
BraA01004798,39,32,40,43,27,42,0.957569616301062,-0.0129390557074983,Not sig
BraA01004799,141,177,124,173,254,179,0.162073636404016,-0.455271424081519,Not sig
BraA01004800,10,10,11,4,5,8,0.0516001929589588,0.866733469136536,Not sig
BraA01004801,13,8,10,9,19,14,0.340213108407611,-0.438121112391885,Not sig
BraA01004802,0.005,0.005,1,3,1,0.005,0.378566668196023,-1.98744694965692,Not sig
BraA01004803,443,386,540,362,442,348,0.259520423702106,0.248981729815587,Not sig
BraA01004804,477,152,185,156,195,288,0.639638262033611,0.349212863319253,Not sig
BraA01004807,0.005,2,0.005,2,1,0.005,0.725680205813053,-0.580169489532257,Not sig
BraA01004808,630,875,1321,1271,1264,663,0.686469234057844,-0.178408473146393,Not sig
BraA01004809,46,14,53,72,43,86,0.168230097431705,-0.830872728763741,Not sig
BraA01004811,3,0.005,0.005,1,1,1,0.997639049046926,0.00480098626382128,Not sig
BraA01004812,0.005,4,3,4,3,6,0.256644698239704,-0.892054667484999,Not sig
BraA01004813,0.005,1,2,0.005,2,2,0.724380667344825,-0.414437251697525,Not sig
BraA01004814,40,38,57,36,52.76,73.97,0.512546851674989,-0.269520835507369,Not sig
BraA01004815,17.59,8.27,25,9,16,21,0.800549301192748,0.144897600858369,Not sig
BraA01004816,113.98,51,50.98,24,53.99,50.86,0.302938903398052,0.745071584702275,Not sig
BraA01004817,9,11,2,8,10,15,0.349400691580306,-0.584962500721156,Not sig
BraA01004818,115,85,101,84,147,173,0.323100722765938,-0.424591805992093,Not sig
BraA01004819,113,98,91,137,147,116,0.0492567004736474,-0.405451450449646,Not sig
BraA01004820,79,107,122,84,84,94,0.347667994465232,0.233363539157451,Not sig
BraA01004821,55,75,62,88,82,65,0.189957781637306,-0.291554445843843,Not sig
BraA02000002,395,374,376,513,476,398,0.135511477464612,-0.276620189339296,Not sig
BraA02000004,24.19,11,17.92,16.76,9.75,36.35,0.738124817196097,-0.243158742705926,Not sig
BraA02000006,109.81,37,64.08,65.24,77.25,164.65,0.450457219724967,-0.542405725246053,Not sig
BraA02000009,1,6,5,5,6,2,0.872595232593876,-0.115477217419936,Not sig
BraA02000011,50,39,54,89,52,95,0.136944216047175,-0.722771712583452,Not sig
BraA02000013,0.005,0.87,0.87,0.005,0.005,0.72,0.418599306575095,1.25725866732964,Not sig
BraA02000016,96,119,151,92,68,186,0.877220949686078,0.0810716106473179,Not sig
BraA02000017,63,57,50,57,69,94,0.262250835358184,-0.371968777386958,Not sig
BraA02000018,249,277,381,208,168,72,0.0547976329177382,1.01760381847092,Not sig
BraA02000024,99,112,99,92,127,174,0.364159321545026,-0.342261096984369,Not sig
BraA02000025,2,0.005,5,2,0.005,1,0.464288367444938,1.22102005971963,Not sig
BraA02000026,139,90,113,150,165,117,0.208613977585089,-0.337034987277571,Not sig
BraA02000027,14,18,30,17,24,50,0.451621462495024,-0.553598329811821,Not sig
BraA02000029,4.5,1,0.5,1,4,4.5,0.523210335422103,-0.662965012722429,Not sig
BraA02000030,8,17,10,13,17,11,0.576705681092892,-0.228268987673117,Not sig
BraA02000031,4.5,1,0.5,1,4,4.5,0.523210335422103,-0.662965012722429,Not sig
BraA02000032,340.81,187,186,317,379,572,0.126427061402127,-0.828942727644947,Not sig
BraA02000033,879,767,938,779,1010,785,0.972812483106144,0.00559401647322331,Not sig
BraA02000035,0.005,1,0.005,3,3,16,0.247288519671299,-4.44507632566023,Not sig
BraA02000036,0.005,2,0.005,5,2,6,0.0727869791331745,-2.69324421673689,Not sig
BraA02000037,14440,11402,19294,11212,14064,5430,0.233593023958009,0.555757983047322,Not sig
BraA02000039,1,1,0.005,2,2,7,0.210418945468964,-2.4558293819571,Not sig
BraA02000040,407,407,359,449,607,567,0.0746118119858385,-0.468459986519463,Not sig
BraA02000041,10,6,1,10,7,7,0.473212227008707,-0.497499659470817,Not sig
BraA02000042,6,2,2,0.005,1,6,0.686807577347308,0.513543044231269,Not sig
BraA02000043,0.005,0.005,0.005,1,0.005,2,0.225662696077777,-7.64625867999003,Not sig
BraA02000044,4,3,0.005,2,2,2,0.806372667911313,0.223422549934937,Not sig
BraA02000045,20,18,13,24,26,40,0.107884089676378,-0.819427754358179,Not sig
BraA02000047,0.005,2,1,1,0.005,18,0.45776511334352,-2.66094212915078,Not sig
BraA02000048,2,3,0.005,5,0.005,6,0.404959779956875,-1.13671717105556,Not sig
BraA02000049,54,42,37,37,45,49,0.919548516398424,0.0218594339637394,Not sig
BraA02000050,33,22,24,36,37,59,0.128269712033869,-0.740613371181351,Not sig
BraA02000051,2,1,4,2,2,3,1,0,Not sig
BraA02000054,5,11,3,13,8,40,0.292367541844764,-1.6828098241193,Not sig
BraA02000055,9,11,9,15,19,28,0.0994210469608671,-1.0962153152593,Not sig
BraA02000056,68.73,64.59,67.63,63.67,68.59,60.97,0.384716094396547,0.0565174796450221,Not sig
BraA02000058,500.27,557.41,668.37,428.33,575.41,504.03,0.327616657813536,0.195057884801169,Not sig
BraA02000059,12,14,22,13,3,34,0.95008390066456,-0.0588936890535686,Not sig
BraA02000060,2,9,7,6,6,9,0.695409154498496,-0.222392421336448,Not sig
BraA02000062,145,103,161,120,119,91,0.27144367535398,0.309634818695933,Not sig
BraA02000063,73,51,70,56,82,89,0.42345878635163,-0.226635645103787,Not sig
BraA02000064,1,1,3,0.005,1,0.005,0.174147767015198,2.30757280191029,Not sig
BraA02000065,6,12,1,13,8,14,0.237303223795829,-0.881355503501381,Not sig
BraA02000067,75.42,44.11,72,36,50,27.97,0.105275611159905,0.748916266279225,Not sig
BraA02000068,27,27,36,31,25,43,0.654075338129066,-0.137503523749935,Not sig
BraA02000069,4,0.005,3,1,2,3,0.818288703143822,0.223422549934937,Not sig
BraA02000071,97,74,92,101,124,118,0.0530794321944667,-0.38314577688051,Not sig
BraA02000072,63.17,46,41,67,43.77,328,0.401803561875739,-1.54686825852539,Not sig
BraA02000073,41,47,63,44,67,35,0.893269770531895,0.0485801804450619,Not sig
BraA02000074,298,357,328,239,443,164,0.641499760160001,0.216533753220631,Not sig
BraA02000080,1,2,4,5,1,20,0.387824316119657,-1.89308479608349,Not sig
BraA02000081,52,49,41,41,52,26,0.425785244763034,0.254929356196739,Not sig
BraA02000082,242.49,208.53,283,191,260,403,0.59582131610509,-0.218416696821256,Not sig
BraA02000083,2,1,4,0.005,0.005,2,0.21178545392504,1.8001594206534,Not sig
BraA02000084,403,359,506,327,377,477,0.66423484418266,0.10254578074225,Not sig
BraA02000086,147,128,117,143,151,141,0.238454512155215,-0.150161746620882,Not sig
BraA02000087,44,36,52,44,71,69,0.174861730046747,-0.47916783669856,Not sig
BraA02000088,10,4,6,4,12,2,0.86146444222351,0.15200309344505,Not sig
BraA02000090,20,7,26,9,10,38,0.910934917268928,-0.104969559601542,Not sig
BraA02000091,36,21,25,32,34,26,0.55827517247783,-0.166009951438929,Not sig
BraA02000092,2,3,5,3,2,4,0.770025638391176,0.15200309344505,Not sig
BraA02000093,16,24,19,21,19,20,0.901169025101189,-0.0242475462466772,Not sig
BraA02000094,103,46,64,45,50,244,0.591447760593819,-0.670431842910506,Not sig
BraA02000095,476,436.86,452,438,460.93,747,0.445725792634487,-0.270150005639481,Not sig
BraA02000096,0.005,2,1,0.005,2,3,0.565845412149565,-0.736005078124808,Not sig
BraA02000097,25,29,45,19,38,40,0.944911350638887,0.0294437778924818,Not sig
BraA02000099,896,1122,1101,978,1138,257,0.458593238908848,0.394371452180204,Not sig
BraA02000100,19,12,16,13,14,32,0.590998024557886,-0.328054197684204,Not sig
BraA02000101,8,5,4,2,0.005,9,0.554545614245922,0.627375601133507,Not sig
BraA02000102,0.005,1,0.005,5,3,9,0.0895179793479649,-4.07310754827327,Not sig
BraA02000103,1438,1812,2444,1537,1385,1115,0.191872490196955,0.496158906261755,Not sig
BraA02000104,2,3,2,3,3,7,0.269645291993942,-0.893084796083488,Not sig
BraA02000105,48,74,80,52,66,36,0.289900274826626,0.391424942056893,Not sig
BraA02000106,10,7,10,6,12,8,0.879359599620651,0.0544477840223765,Not sig
BraA02000107,80,61,82,64,60,61,0.195744886951341,0.269518439403993,Not sig
BraA02000108,3,2,4,2,3,12,0.491374527514659,-0.917537839808027,Not sig
BraA02000111,6,5,6,4,3,2,0.0248174617257495,0.917537839808027,Not sig
BraA02000113,1,0.005,0.005,2,1,1,0.10139614421257,-1.98564470702293,Not sig
BraA02000114,590,631,426,1195,807,632,0.177055117475232,-0.67741479053016,Not sig
BraA02000115,29,17.16,21.1,24,23,48.98,0.382756450126766,-0.512985034189611,Not sig
BraA02000116,48.85,4.04,24.02,58.21,25.25,25.15,0.568767735690859,-0.497913844133619,Not sig
BraA02000118,0.005,0.005,0.005,1,1,4,0.184185537236751,-8.64385618977473,Not sig
BraA02000120,28,42,31,36,35,24,0.745036625860438,0.0883558744208469,Not sig
BraA02000123,9,2,2,0.005,9,8,0.735835428374276,-0.387447382792025,Not sig
BraA02000125,7,4,3,5,14,13,0.158050369641378,-1.1926450779424,Not sig
BraA02000126,45,48,67,51,59,56,0.804792469828736,-0.0531113364595624,Not sig
BraA02000127,6,13,11,12,11,10,0.683501010899422,-0.137503523749935,Not sig
BraA02000128,104,56,74,71,100,91,0.605900974739442,-0.163058281954046,Not sig
BraA02000129,0.005,0.005,0.005,1,1,0.005,0.183503419072274,-7.06249592573376,Not sig
BraA02000132,49,65,41,71,76,34,0.603479208854243,-0.223721481808968,Not sig
BraA02000134,0.005,0.005,0.005,2,0.005,7,0.286440851783003,-9.22961996518512,Not sig
BraA02000138,11,7,10,5,2,0.005,0.0218786484759566,1.99896987140151,Up
BraA02000139,19,3,10,0.005,1,1,0.162824762185722,3.9963977633198,Not sig
BraA02000140,84,62,88,60,97,101,0.634907179791934,-0.14086253583985,Not sig
BraA02000143,33,25,28,27,57,91,0.248586722618332,-1.02494635713023,Not sig
BraA02000144,0.005,0.005,0.005,0.005,1,2,0.225662696077777,-7.64625867999003,Not sig
BraA02000145,5,7,2,2,1,8,0.725305502413705,0.347923303420307,Not sig
BraA02000151,29,30,42,34,49,34,0.460323275553379,-0.21215323683161,Not sig
BraA02000152,162,106.1,137,143,177,179,0.198560992632808,-0.300761730538186,Not sig
BraA02000153,3,3,12,5,6,17,0.533859019076794,-0.637429920615292,Not sig
BraA02000156,360,315,404,276,325,226,0.0949010326079253,0.383735630316742,Not sig
BraA02000157,379,465,553,295,463,243,0.193201452100115,0.48089004657347,Not sig
BraA02000158,44,28,40,51,67,92,0.0963656340420679,-0.906890595608519,Not sig
BraA02000159,34,22,30,20,29,22,0.328639990014474,0.276517635197416,Not sig
BraA02000160,224,161,207,241,314,334,0.0514420074733354,-0.58658624320082,Not sig
BraA02000161,0.005,3,5,3,0.005,4,0.868408946752783,0.192516352085439,Not sig
BraA02000162,15,19.57,16.46,12,11,29,0.961461681754025,-0.0271659815312755,Not sig
BraA02000163,31,33.43,35.54,12,29,49,0.786118176588136,0.151570219998519,Not sig
BraA02000164,5,7,8,10,34,21,0.16109187651009,-1.70043971814109,Not sig
BraA02000165,44,19,55,36,34,47,0.978781169848331,0.0122783297784367,Not sig
BraA02000167,26,40,29,30,48,51,0.231949344671476,-0.441371647092306,Not sig
BraA02000168,498,413,616,464,603,634,0.502658827414299,-0.155683078866534,Not sig
BraA02000169,1,0.005,0.005,2,3,0.005,0.266479847477928,-2.3090147760842,Not sig
BraA02000171,1,0.005,2,1,5,0.005,0.590039394413843,-0.998799254994449,Not sig
BraA02000172,19,33,15,27,37,6,0.930598128506388,-0.063193826487194,Not sig
BraA02000173,0.005,0.005,4,2,0.005,2,0.999178245725887,0.00179999404621018,Not sig
BraA02000174,3767.1,3995.7,5054.88,3573.38,4361.05,3971.06,0.551034927654677,0.106508158265929,Not sig
BraA02000175,285,271,321,166,217,238,0.036177574484265,0.497983574224251,Not sig
BraA02000177,6,19,6,7,6,13,0.754267126263557,0.253756592245783,Not sig
BraA02000178,0.005,0.88,0.005,0.005,1.5,2.39,0.286002184383316,-2.12974608709527,Not sig
BraA02000185,382,45,41,158,250,323,0.531787938306191,-0.643362876369033,Not sig
BraA02000187,18,9,25,0.005,3,1,0.0697620278085557,3.69863747550711,Not sig
BraA02000189,627,574,804,524,617,462,0.192837360680672,0.322827811187735,Not sig
BraA02000190,0.005,0.005,0.005,0.005,1,12,0.376897894581948,-9.75988818322183,Not sig
BraA02000192,68,58,49,72,98,126,0.110053171094587,-0.758242253796621,Not sig
BraA02000193,66,63,70,75,75,108,0.212735364124661,-0.374602634879605,Not sig
BraA02000194,46,53,41,77,74,86,0.00298279857958138,-0.759460231953293,Not sig
BraA02000195,115,230,196,271,260,55,0.860346700422697,-0.115272070595433,Not sig
BraA02000196,0.005,0.005,3,2,2,3,0.313601849683059,-1.21759143507263,Not sig
BraA02000198,309,260,373,248,318,366,0.947287457776088,0.0153971049585028,Not sig
BraA02000199,2,3,2,2,3,1,0.649450178013194,0.222392421336448,Not sig
BraA02000200,19,18,21,47,47,37,0.0135999220470517,-1.17544200640988,Down
BraA02000203,1,1,0.005,3,0.005,2,0.377757923528735,-1.31976783238107,Not sig
BraA02000204,48,70,47,48,78,54,0.695466162912172,-0.125530882083859,Not sig
BraA02000205,116,121,77,106,128,154,0.277577656124386,-0.305292093295501,Not sig
BraA02000206,272,306,275,267,403,390,0.248800821862731,-0.313446618132271,Not sig
BraA02000207,26,34,49,30,32,28,0.447515186268741,0.276331228447252,Not sig
BraA02000208,423,420,456,353,446,487,0.924740415667538,0.0145107881199337,Not sig
BraA02000209,65,53,57,43,60,35,0.232336907157902,0.34268665505416,Not sig
BraA02000210,5,13,16,10,4,32,0.695085605277503,-0.436099114806673,Not sig
BraA02000212,1,2,0.005,1,0.005,0.005,0.386643207845422,1.57300969795939,Not sig
BraA02000213,310,321,323,306,367,346,0.349270264436279,-0.0950928801603023,Not sig
BraA02000215,5,8,5,5,6,4,0.446539023334613,0.263034405833794,Not sig
BraA02000216,4,4,1,7,10,3,0.205797143070274,-1.15200309344505,Not sig
BraA02000219,3,3,7,6,4,6,0.551242619388217,-0.299560281858908,Not sig
BraA02000220,1105,1088.35,1275,1120,1284,1227,0.519775425016663,-0.0661174382145022,Not sig
BraA02000221,19,11,14,16,21,30,0.197358366999659,-0.606657571820475,Not sig
BraA02000224,68,35,44,88,77,111,0.0376346501826535,-0.908852111941805,Not sig
BraA02000225,80,39,105,51,68,123,0.846446438439983,-0.11150831521699,Not sig
BraA02000231,5,9,1,4,2,21,0.585926208370081,-0.84799690655495,Not sig
BraA02000232,35,25,34,48,35,46,0.089541935161571,-0.456638403745617,Not sig
BraA02000236,80,70,94,81,101,110,0.223736725710893,-0.259087221317131,Not sig
BraA02000237,0.005,0.005,0.005,1,2,2,0.0379642790009995,-8.38082178394093,Down
BraA02000238,2,1,4,1,0.005,1,0.191133450227614,1.80375268537741,Not sig
BraA02000239,5,0.005,0.005,1,0.005,6,0.802961203095258,-0.48357444723561,Not sig
BraA02000240,227,114,172,158,227,370,0.334800826802035,-0.557517818605387,Not sig
BraA02000241,302,324,207,377,445,290,0.184220070574117,-0.41676838735796,Not sig
BraA02000244,15,9,4,21,15,20,0.0793237621117346,-1,Not sig
BraA02000245,118,92,139,93,98,87,0.219701459189803,0.328142153486145,Not sig
BraA02000246,2548,2573,2855,2560,3180,2785,0.438562922674459,-0.0960344244007013,Not sig
BraA02000247,70,41,52,89,84,106,0.0250465377104037,-0.77539315759811,Not sig
BraA02000250,876,608,449,2006.96,498,636,0.494493750615774,-0.70036393289406,Not sig
BraA02000251,0.005,1,2,1,0.005,1,0.648507896794981,0.583762754256265,Not sig
BraA02000253,0.005,9,0.005,10,34,1,0.347827742231041,-2.32032599029086,Not sig
BraA02000255,0.005,0.005,0.005,1,3,0.005,0.270069503221121,-8.06069593168755,Not sig
BraA02000256,110,142,118,168,130,109,0.575095005318811,-0.137503523749935,Not sig
BraA02000257,20,20,11,35,34,36,0.0233190736642005,-1.04182017569463,Down
BraA02000259,44,35,43,41,29,35,0.277371036592173,0.216491819896763,Not sig
BraA02000260,6,3,5,1,1,3,0.0576380676434079,1.48542682717024,Not sig
BraA02000261,624,546,769,596,642,384,0.364373090554285,0.25753898388952,Not sig
BraA02000262,8.46,8,5,1.03,6.28,33,0.591204999849047,-0.909487707094558,Not sig
BraA02000263,0.54,0.005,0.005,0.97,0.72,0.005,0.335664300468907,-1.62378174961168,Not sig
BraA02000264,2,1,2,0.005,0.005,0.005,0.0379642790009995,8.38082178394093,Up
BraA02000265,43,46,37,76,45,55,0.203516631115184,-0.482151695137381,Not sig
BraA02000266,455,357,454,326,375,359,0.157000974259725,0.25621313997778,Not sig
BraA02000269,581.6,535.47,731.22,477.07,623.2,521.55,0.365698124752884,0.188577427062558,Not sig
BraA02000270,23,23,25,21,43,16,0.752547434374481,-0.17218097538268,Not sig
BraA02000271,57,44,66,54,66,50,0.906910355698713,-0.0256866436636496,Not sig
BraA02000273,4,3,5,4,2,2,0.206525832157996,0.584962500721156,Not sig
BraA02000274,167,176,205.18,180,196,160,0.806815471016255,0.0324166926262633,Not sig
BraA02000276,472,542,576,464,466,434,0.121521450934867,0.221183121147545,Not sig
BraA02000277,111,70,109,81,172,174,0.273748915795727,-0.558183169605556,Not sig
BraA02000279,4,1,5,6,4,2,0.709628292754455,-0.263034405833794,Not sig
BraA02000280,45,47,66,38,45,45,0.270646704343641,0.303780748177103,Not sig
BraA02000281,228,183,182.94,209.82,188,332,0.422793059903886,-0.297223490210367,Not sig
BraA02000283,4,3,5,5,7,13,0.208592167426285,-1.05889368905357,Not sig
BraA02000285,11,9,12,14,15,6,0.764627761719794,-0.129283016944966,Not sig
BraA02000286,18,20,22,31,7,49,0.536925447184578,-0.53605290024021,Not sig
BraA02000287,70,45,53,66,42,89,0.574559416811378,-0.229734396677616,Not sig
BraA02000289,2,1.5,2.5,2,6.5,7.5,0.184499707368464,-1.41503749927884,Not sig
BraA02000290,2,1.5,2.5,2,6.5,7.5,0.184499707368464,-1.41503749927884,Not sig
