	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA01000127	1	3	0.005	0.005	2	2	1	0	Not sig
BraA01000128	76	69	42	129	148	181	0.010919575697333	-1.29230932820931	Down
BraA01000130	216	166	207	13	74	7	0.00456148274334208	2.64753497215282	Up
BraA01000131	0.005	1.07	0.005	319	337	517.99	0.0254090960420618	-10.0861730919548	Down
BraA01000133	68	54	54	36	50	35	0.0527238766027065	0.540568381362703	Not sig
BraA01000134	3	2	2	8	38	18	0.163838714672904	-3.1926450779424	Not sig
BraA01000135	69	84	49	1	11	8	0.0200032530857834	3.33628338786443	Up
BraA01000136	58	61	36	105	118	119	0.00522109362780294	-1.14172810961166	Down
BraA01000137	199	227	148	74	107	125	0.0395048621213914	0.907519083983036	Not sig
BraA01000138	75	44	49	31	53	21	0.194239773962543	0.678071905112638	Not sig
