	CK-1	CK-2	CK-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA01000112	177	181	142	134	156	160	0.332204273843747	0.15200309344505	Not sig
BraA01000114	0.005	0.005	6	13	22	21	0.0113947345548084	-3.21998993112114	Down
BraA01000115	0.005	0.005	0.005	8	4	6	0.0351542373452968	-10.2288186904959	Down
BraA01000116	5	0.005	12	37	46	48	0.00144054000052363	-2.94553590060433	Down
BraA01000117	57	51	102	22	7	6	0.0570315214911947	2.58496250072116	Not sig
BraA01000118	149	126	132	4	5	3	0.00257330912080632	5.08392248354509	Up
BraA01000119	40.28	16.79	32	7013.99	7475.23	10613.19	0.0178960962807706	-8.13867056985777	Down
BraA01000120	17	28	37	110	133	117	0.000555949304599253	-2.13430109171159	Down
BraA01000121	754.34	996.82	776.44	189.58	330	223	0.00600634428572916	1.76714980637903	Up
BraA01000122	217	203	191	203	219	207	0.544028533160442	-0.0418876370605596	Not sig
BraA01000123	1884	1766	3219	2635	2314	2263	0.831788203496275	-0.0702993122903026	Not sig
BraA01000125	0.005	1	2	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA01000126	28	34	59	33	23	52	0.751159980834589	0.163975735111126	Not sig
BraA01000127	0.005	0.005	1	0.005	2	2	0.27349960780031	-1.98744694965692	Not sig
BraA01000128	77	80	80	129	148	181	0.0394743925648484	-0.950460539198685	Not sig
BraA01000130	103	88	18	13	74	7	0.322755738602116	1.15277028040325	Not sig
BraA01000131	0.005	0.005	0.005	319	337	517.99	0.025367808605806	-16.2560980933971	Down
BraA01000133	60	126	141	36	50	35	0.105022289696304	1.43428358822349	Not sig
BraA01000134	9	12	32	8	38	18	0.764367924737981	-0.272079545436801	Not sig
BraA01000135	47	61	69	1	11	8	0.00635393931117404	3.14567745519564	Up
BraA01000136	51	51	60	105	118	119	0.000776911447055486	-1.07800251200127	Down
BraA01000137	268	219	122	74	107	125	0.131310320969761	0.992910575213681	Not sig
BraA01000138	48	48	154	31	53	21	0.303108905155971	1.25153876699596	Not sig
BraA01000140	0.83	5.45	3.45	0.005	0.64	0.005	0.148910748926205	3.90392818175266	Not sig
BraA01000143	84.17	48.55	93.55	4	17.36	6.66	0.031868811090769	3.01351645673141	Up
BraA01000144	3	6	3	1	4	2	0.280424620292441	0.777607578663552	Not sig
BraA01000145	20	15	17	337	383	470	0.0103240557217217	-4.51630614005421	Down
BraA01000146	41	31	43	628	713	685	0.00125417665139787	-4.13892840785676	Down
BraA01000147	2	0.005	8	1	1	0.005	0.382608194927781	2.31904702545082	Not sig
BraA01000148	0.005	1	1	0.005	0.005	0.005	0.183503419072274	7.06249592573376	Not sig
BraA01000149	2818	3016	1831	643	1066	453	0.0218291039877254	1.82591926881149	Up
BraA01000150	53	43	43	266	345	392	0.0153008821329873	-2.85116481788867	Down
BraA01000151	20	18	72	26	33	24	0.662760443989034	0.406320282177735	Not sig
BraA01000153	526	588	412	349	428	419	0.154028656576427	0.351537572636425	Not sig
BraA01000154	57	84	236	100	160	103	0.942917014717156	0.0545949752729135	Not sig
BraA01000155	372	383	302	509	597	551	0.00508973034773333	-0.648598225838769	Not sig
BraA01000156	344	324	240	389	403	407	0.0890566447616605	-0.401067456123309	Not sig
