	T-1	T-2	T-3	TH-1	TH-2	TH-3	pvalue	log2FC	UPDOWN
BraA01000111	17	27	7	46	37	45	0.0297158245524995	-1.3275746580285	Down
BraA01000112	134	156	160	228	171	244	0.0871817354009297	-0.51489373611091	Not sig
BraA01000113	1	1	1	2	0.005	2	0.664441669777572	-0.416839741912829	Not sig
BraA01000114	13	22	21	3	0.005	3	0.018883463859536	3.2211906761267	Up
BraA01000115	8	4	6	0.005	0.005	0.005	0.0351542373452968	10.2288186904959	Up
BraA01000116	37	46	48	1	0.005	0.005	0.0056693537981227	7.01906770856038	Up
BraA01000117	22	7	6	64	71	91	0.00467078934655165	-2.69089594547022	Down
BraA01000118	4	5	3	161	150	120	0.00750406337665129	-5.16658155836794	Down
BraA01000119	7013.99	7475.23	10613.19	28	21.92	33	0.0178898777551988	8.24189004745617	Up
BraA01000120	110	133	117	39	14	20	0.000742982142323196	2.30202853744966	Up
BraA01000121	189.58	330	223	723	772.21	1286.87	0.0569645315501635	-1.90554554129868	Not sig
BraA01000122	203	219	207	192	217	244	0.654617322770617	-0.0540229746671415	Not sig
BraA01000123	2635	2314	2263	2057	1051	2371	0.281307599838779	0.396486793126362	Not sig
BraA01000126	33	23	52	29	16	37	0.45899420442036	0.397335497545385	Not sig
BraA01000127	0.005	2	2	1	3	0.005	1	0	Not sig
BraA01000128	129	148	181	76	69	42	0.010919575697333	1.29230932820931	Up
BraA01000130	13	74	7	216	166	207	0.00456148274334208	-2.64753497215282	Down
BraA01000131	319	337	517.99	0.005	1.07	0.005	0.0254090960420618	10.0861730919548	Up
BraA01000133	36	50	35	68	54	54	0.0527238766027065	-0.540568381362702	Not sig
BraA01000134	8	38	18	3	2	2	0.163838714672904	3.1926450779424	Not sig
BraA01000135	1	11	8	69	84	49	0.0200032530857834	-3.33628338786443	Down
BraA01000136	105	118	119	58	61	36	0.00522109362780294	1.14172810961166	Up
BraA01000137	74	107	125	199	227	148	0.0395048621213914	-0.907519083983036	Not sig
BraA01000138	31	53	21	75	44	49	0.194239773962543	-0.678071905112638	Not sig
BraA01000140	0.005	0.64	0.005	0.005	11.96	2.54	0.331783702531914	-4.47996676716954	Not sig
BraA01000143	4	17.36	6.66	124	69.04	89.46	0.0278002150464716	-3.33372200664646	Down
BraA01000144	1	4	2	4	2	4	0.420396020146228	-0.514573172829758	Not sig
BraA01000145	337	383	470	29	9	16	0.00922698688030732	4.46185835603184	Up
BraA01000146	628	713	685	25	22	19	0.00139740533660433	4.94002433944268	Up
BraA01000147	1	1	0.005	4	3	4	0.00310345204223131	-2.4558293819571	Down
BraA01000149	643	1066	453	2665	2213	1698	0.0161807370301966	-1.60484377594703	Down
BraA01000150	266	345	392	48	48	33	0.0142523833340098	2.95887863518893	Up
BraA01000151	26	33	24	25	23	10	0.217008340478554	0.517058436219353	Not sig
BraA01000153	349	428	419	685	463	670	0.0885597327345306	-0.604134809996002	Not sig
BraA01000154	100	160	103	116	76	110	0.437550187750028	0.265420998670672	Not sig
BraA01000155	509	597	551	422	382	528	0.114732060435577	0.31497952015019	Not sig
BraA01000156	389	403	407	354	329	333	0.00431229440666091	0.238931256642058	Not sig
BraA01000157	43	36	30	23	22	21	0.0592241890850885	0.723790205418473	Not sig
BraA01000159	206	170	194	28	5	6	0.000311494495610278	3.86941589018986	Up
BraA01000160	91.29	55.59	15.26	0.005	0.005	0.005	0.132985133932621	13.3999899270112	Not sig
BraA01000161	377.71	200.41	99.74	0.005	0.005	0.005	0.108647049311448	15.463737219798	Not sig
BraA01000163	287	229	352	390	528	172	0.557257849767509	-0.328561187219809	Not sig
BraA01000164	107	105	56	2	2	2	0.0345830584604696	5.48112668973662	Up
BraA01000165	14	22	8	665	455	203	0.0855672401604806	-4.91016572764138	Not sig
BraA01000166	162	179	206	0.005	0.005	0.005	0.00490036245437437	15.1542907118461	Up
BraA01000167	0.005	3.06	0.005	12	9	2	0.143481759965117	-2.90532330046156	Not sig
BraA01000170	90	125	117	261	219	295	0.0101552086300353	-1.22301306881467	Down
BraA01000171	131	190	222	18	17	28	0.0249840072347127	3.10752846430444	Up
BraA01000172	1	1	0.005	0.005	0.005	1	0.518518518518518	0.989246943703126	Not sig
BraA01000174	1115	1204	1648	394	413	344	0.0279100520385309	1.78516056401305	Up
BraA01000176	226	255	454	158	191	150	0.176397384598542	0.905926549437738	Not sig
BraA01000178	39	44	29	13	5	12	0.0108076791020653	1.90046432644909	Up
BraA01000179	4	11	1	20	12	53	0.203602215046111	-2.4093909361377	Not sig
BraA01000180	126	170	125	272	213	318	0.0346923250611294	-0.931579754450918	Not sig
BraA01000181	20	14	14	31	27	42	0.0439429739876537	-1.05889368905357	Down
BraA01000185	142	183	171	91	60	149	0.113194289328209	0.725377619890994	Not sig
BraA01000186	1	1	2	3	2	0.005	0.749172221850112	-0.323370069061269	Not sig
BraA01000189	460	521	503	349	331	273	0.00443126056285465	0.638942972710861	Not sig
BraA01000190	465	471	483	40	28	36	1.37507321447363e-06	3.77021915591946	Up
BraA01000191	151	202	208	49	52	44	0.0153608125046531	1.95194787059386	Up
BraA01000195	33	11	8	0.005	1	1	0.168545529408761	4.6968374814609	Not sig
BraA01000196	115	122	139	65	42	68	0.00375496824369955	1.10337773984531	Up
BraA01000197	7	5	3	13	7	5	0.303341912137219	-0.736965594166206	Not sig
BraA01000199	29	34	30	71	41	71	0.0922225243884628	-0.976541027176011	Not sig
BraA07001021	4816.5	6187	6188	90	26.5	79.5	0.00636755922456256	6.45469796437759	Up
